epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4234.11,0.85675,0.52501,1.11151,0.86174,0.57307,0.87277,0.71784,0.7273,4.80003,1.08582,0.000990713,0.000990713,0.000990713
43,4328.31,0.83733,0.52294,1.11654,0.91707,0.72399,0.89567,0.70403,0.8238,0.55495,1.08337,0.000974218,0.000974218,0.000974218
44,4416.61,0.80551,0.51463,1.13403,0.82544,0.86443,0.89953,0.75713,0.70508,0.49515,1.10255,0.000957724,0.000957724,0.000957724
45,4508.7,0.86208,0.50894,1.13102,0.83441,0.84521,0.90619,0.76269,0.6682,0.51407,1.07036,0.000941229,0.000941229,0.000941229
46,4602.8,0.78515,0.46499,1.09919,0.82551,0.92006,0.91056,0.77243,0.6333,0.41175,1.0501,0.000924734,0.000924734,0.000924734
47,4695.61,0.74501,0.45348,1.09141,0.81491,0.88871,0.91189,0.73791,0.70961,0.46451,1.05244,0.000908239,0.000908239,0.000908239
48,4786.71,0.77895,0.48484,1.11211,0.82944,0.86991,0.91192,0.75728,0.70984,0.60389,1.05199,0.000891744,0.000891744,0.000891744
49,4883.31,0.79742,0.48046,1.11057,0.81609,0.91379,0.90728,0.76205,0.67906,0.42684,1.05537,0.00087525,0.00087525,0.00087525
50,4977.31,0.83055,0.49983,1.10987,0.81684,0.91053,0.89638,0.71716,0.80373,0.4695,1.06576,0.000858755,0.000858755,0.000858755
51,5070.11,0.83421,0.48077,1.11132,0.82318,0.91223,0.89497,0.75378,0.67711,0.4415,1.05071,0.00084226,0.00084226,0.00084226
52,5165.2,0.81839,0.48811,1.10877,0.83634,0.9185,0.90437,0.74711,0.69041,0.43579,1.06161,0.000825765,0.000825765,0.000825765
53,5256.71,0.7527,0.46125,1.1071,0.82764,0.87774,0.91553,0.77124,0.65397,0.47722,1.04717,0.00080927,0.00080927,0.00080927
54,5353.2,0.78186,0.46617,1.08334,0.81904,0.91379,0.90708,0.76677,0.62273,0.42748,1.05095,0.000792776,0.000792776,0.000792776
55,5443.4,0.81713,0.47345,1.08702,0.80682,0.90454,0.91794,0.76367,0.63464,0.48046,1.05201,0.000776281,0.000776281,0.000776281
56,5543.21,0.75009,0.44902,1.09078,0.82864,0.88817,0.91096,0.78142,0.60402,0.42398,1.04805,0.000759786,0.000759786,0.000759786
57,5636.2,0.75488,0.4454,1.08678,0.8331,0.90596,0.91546,0.7951,0.64543,0.3997,1.04095,0.000743291,0.000743291,0.000743291
58,5735.4,0.76477,0.46087,1.10688,0.8194,0.9064,0.91353,0.78577,0.58327,0.39823,1.05545,0.000726796,0.000726796,0.000726796
59,5832.3,0.74373,0.43626,1.10383,0.81007,0.90228,0.90393,0.76172,0.64924,0.45067,1.05847,0.000710302,0.000710302,0.000710302
60,5929.5,0.73402,0.43964,1.08925,0.83635,0.91379,0.9164,0.77973,0.6852,0.43039,1.04589,0.000693807,0.000693807,0.000693807
61,6028.41,0.77192,0.42889,1.10134,0.81173,0.85724,0.89843,0.75461,0.61553,0.57625,1.05916,0.000677312,0.000677312,0.000677312
62,6121.71,0.73398,0.45313,1.10569,0.87995,0.77624,0.90952,0.78288,0.61806,0.44924,1.04559,0.000660817,0.000660817,0.000660817
63,6219.5,0.77335,0.44312,1.09702,0.76082,0.83136,0.88385,0.6767,0.91316,0.62355,1.09347,0.000644323,0.000644323,0.000644323
64,6307.31,0.72481,0.45312,1.09268,0.84238,0.85266,0.91552,0.77272,0.6225,0.54837,1.05115,0.000627828,0.000627828,0.000627828
65,6400.1,0.72884,0.44395,1.09565,0.81776,0.89916,0.90595,0.78178,0.63038,0.40756,1.04765,0.000611333,0.000611333,0.000611333
66,6487.81,0.76009,0.44982,1.07772,0.78622,0.89185,0.90632,0.761,0.67573,0.47494,1.04562,0.000594838,0.000594838,0.000594838
67,6582.61,0.70468,0.43036,1.09002,0.80444,0.93092,0.91117,0.78858,0.59897,0.42341,1.04663,0.000578343,0.000578343,0.000578343
68,6673.71,0.74365,0.44411,1.08177,0.84591,0.90477,0.92299,0.8002,0.56705,0.38637,1.03875,0.000561849,0.000561849,0.000561849
69,6764,0.72624,0.43339,1.08791,0.83324,0.85595,0.9111,0.76897,0.63012,0.45706,1.06056,0.000545354,0.000545354,0.000545354
70,6861.4,0.73892,0.43347,1.08802,0.97134,0.61949,0.88809,0.7385,0.65254,2.55812,1.06354,0.000528859,0.000528859,0.000528859
71,6950.51,0.69859,0.41586,1.07577,0.95453,0.54989,0.86976,0.73792,0.66529,3.16191,1.07283,0.000512364,0.000512364,0.000512364
72,7042,0.71544,0.43029,1.08168,0.78147,0.84169,0.90353,0.78053,0.59965,0.53098,1.04125,0.000495869,0.000495869,0.000495869
73,7139.71,0.68741,0.40568,1.08979,0.85845,0.75312,0.90499,0.77006,0.64849,0.81485,1.0339,0.000479375,0.000479375,0.000479375
74,7232.81,0.69581,0.41471,1.06191,0.79563,0.91379,0.89803,0.77921,0.56772,0.40437,1.03814,0.00046288,0.00046288,0.00046288
75,7332,0.70971,0.41452,1.0866,0.82522,0.90909,0.91534,0.79192,0.56028,0.3648,1.04315,0.000446385,0.000446385,0.000446385
76,7432.51,0.716,0.42333,1.08115,0.82377,0.91443,0.90986,0.79187,0.58516,0.37309,1.03903,0.00042989,0.00042989,0.00042989
77,7524.61,0.69758,0.41563,1.07645,0.82259,0.92006,0.91938,0.80123,0.59198,0.36503,1.04124,0.000413395,0.000413395,0.000413395
78,7621.51,0.70627,0.43432,1.07254,0.82131,0.91223,0.91886,0.80738,0.56919,0.36846,1.0307,0.000396901,0.000396901,0.000396901
79,7717.21,0.66815,0.406,1.07224,0.81897,0.91693,0.91394,0.80371,0.5203,0.35091,1.03384,0.000380406,0.000380406,0.000380406
80,7814.2,0.7064,0.40965,1.07879,0.81834,0.90655,0.91379,0.79953,0.55715,0.36576,1.03602,0.000363911,0.000363911,0.000363911
81,7905.51,0.67502,0.40122,1.0879,0.81131,0.91418,0.90326,0.79347,0.54695,0.39618,1.05084,0.000347416,0.000347416,0.000347416
82,8001.4,0.65127,0.39868,1.07709,0.81507,0.92633,0.91282,0.79806,0.54247,0.35735,1.03395,0.000330921,0.000330921,0.000330921
83,8093.01,0.68588,0.42096,1.08176,0.82576,0.91066,0.91519,0.79762,0.54854,0.34749,1.03675,0.000314427,0.000314427,0.000314427
84,8185.01,0.63016,0.3933,1.07025,0.82631,0.91579,0.9154,0.80488,0.52912,0.3513,1.03799,0.000297932,0.000297932,0.000297932
85,8280.8,0.65797,0.39033,1.07621,0.82988,0.9,0.91624,0.81877,0.50904,0.34263,1.03964,0.000281437,0.000281437,0.000281437
86,8370.11,0.67152,0.40096,1.08636,0.82122,0.91693,0.91716,0.8149,0.49941,0.34215,1.03297,0.000264942,0.000264942,0.000264942
87,8460.6,0.68021,0.41794,1.07999,0.82265,0.91822,0.9191,0.81825,0.5118,0.34241,1.03313,0.000248447,0.000248447,0.000248447
88,8548.71,0.6661,0.39233,1.083,0.87436,0.84894,0.91711,0.81037,0.55357,0.35776,1.03685,0.000231953,0.000231953,0.000231953
89,8643.41,0.64921,0.39156,1.08625,0.85814,0.87147,0.91897,0.80356,0.50756,0.34458,1.0345,0.000215458,0.000215458,0.000215458
90,8734.81,0.63366,0.37231,1.06243,0.83755,0.9166,0.92438,0.81306,0.52502,0.33528,1.03634,0.000198963,0.000198963,0.000198963
91,8883.62,0.58857,0.39582,1.04711,0.83049,0.91005,0.9216,0.81489,0.49773,0.34922,1.03852,0.000182468,0.000182468,0.000182468
92,8958.31,0.60023,0.37869,1.05564,0.82863,0.92006,0.91799,0.79506,0.54983,0.35743,1.03569,0.000165973,0.000165973,0.000165973
93,9038.61,0.56364,0.37038,1.04541,0.8244,0.90909,0.91871,0.82028,0.48806,0.34058,1.03505,0.000149479,0.000149479,0.000149479
94,9128.51,0.55165,0.36943,1.04602,0.8232,0.92259,0.91818,0.8169,0.50313,0.33851,1.03412,0.000132984,0.000132984,0.000132984
95,9218.11,0.59389,0.36919,1.05436,0.87054,0.86051,0.91682,0.81763,0.47732,0.32603,1.0325,0.000116489,0.000116489,0.000116489
96,9304.71,0.53734,0.36279,1.04077,0.85738,0.86018,0.91839,0.82033,0.46543,0.32436,1.03337,9.99942e-05,9.99942e-05,9.99942e-05
97,9400.81,0.56407,0.36898,1.04745,0.80771,0.93417,0.91815,0.81853,0.47694,0.32508,1.03202,8.34994e-05,8.34994e-05,8.34994e-05
98,9499.51,0.55208,0.38142,1.04773,0.8313,0.89812,0.91766,0.81836,0.49063,0.32594,1.02998,6.70046e-05,6.70046e-05,6.70046e-05
99,9589.01,0.58369,0.38525,1.04227,0.84807,0.86775,0.91768,0.82362,0.46567,0.3169,1.03046,5.05098e-05,5.05098e-05,5.05098e-05
100,9676.81,0.54895,0.35999,1.05622,0.85801,0.8605,0.91804,0.82092,0.46239,0.31194,1.03235,3.4015e-05,3.4015e-05,3.4015e-05
